item_number;block;correct;audio_file;length;probability;tone_classes
1;1;1;04S14Tone_70_A_001.mp3;14;0.7;4
2;1;1;04S14Tone_70_A_002.mp3;14;0.7;4
3;1;1;04S14Tone_70_A_003.mp3;14;0.7;4
4;1;1;04S14Tone_70_A_004.mp3;14;0.7;4
5;1;1;04S14Tone_70_A_005.mp3;14;0.7;4
6;1;1;04S14Tone_70_A_006.mp3;14;0.7;4
7;1;1;04S14Tone_70_A_007.mp3;14;0.7;4
8;1;1;04S14Tone_70_A_008.mp3;14;0.7;4
9;1;1;04S14Tone_70_A_009.mp3;14;0.7;4
10;1;1;04S14Tone_70_A_010.mp3;14;0.7;4
11;1;2;04S14Tone_70_B_001.mp3;14;0.7;4
12;1;2;04S14Tone_70_B_002.mp3;14;0.7;4
13;1;2;04S14Tone_70_B_003.mp3;14;0.7;4
14;1;2;04S14Tone_70_B_004.mp3;14;0.7;4
15;1;2;04S14Tone_70_B_005.mp3;14;0.7;4
16;1;2;04S14Tone_70_B_006.mp3;14;0.7;4
17;1;2;04S14Tone_70_B_007.mp3;14;0.7;4
18;1;2;04S14Tone_70_B_008.mp3;14;0.7;4
19;1;2;04S14Tone_70_B_009.mp3;14;0.7;4
20;1;2;04S14Tone_70_B_010.mp3;14;0.7;4
1;2;1;04S12Tone_70_A_001.mp3;12;0.7;4
2;2;1;04S12Tone_70_A_002.mp3;12;0.7;4
3;2;1;04S12Tone_70_A_003.mp3;12;0.7;4
4;2;1;04S12Tone_70_A_004.mp3;12;0.7;4
5;2;1;04S12Tone_70_A_005.mp3;12;0.7;4
6;2;1;04S12Tone_70_A_006.mp3;12;0.7;4
7;2;1;04S12Tone_70_A_007.mp3;12;0.7;4
8;2;1;04S12Tone_70_A_008.mp3;12;0.7;4
9;2;1;04S12Tone_70_A_009.mp3;12;0.7;4
10;2;1;04S12Tone_70_A_010.mp3;12;0.7;4
11;2;2;04S12Tone_70_B_001.mp3;12;0.7;4
12;2;2;04S12Tone_70_B_002.mp3;12;0.7;4
13;2;2;04S12Tone_70_B_003.mp3;12;0.7;4
14;2;2;04S12Tone_70_B_004.mp3;12;0.7;4
15;2;2;04S12Tone_70_B_005.mp3;12;0.7;4
16;2;2;04S12Tone_70_B_006.mp3;12;0.7;4
17;2;2;04S12Tone_70_B_007.mp3;12;0.7;4
18;2;2;04S12Tone_70_B_008.mp3;12;0.7;4
19;2;2;04S12Tone_70_B_009.mp3;12;0.7;4
20;2;2;04S12Tone_70_B_010.mp3;12;0.7;4
1;3;1;04S10Tone_70_A_001.mp3;10;0.7;4
2;3;1;04S10Tone_70_A_002.mp3;10;0.7;4
3;3;1;04S10Tone_70_A_003.mp3;10;0.7;4
4;3;1;04S10Tone_70_A_004.mp3;10;0.7;4
5;3;1;04S10Tone_70_A_005.mp3;10;0.7;4
6;3;1;04S10Tone_70_A_006.mp3;10;0.7;4
7;3;1;04S10Tone_70_A_007.mp3;10;0.7;4
8;3;1;04S10Tone_70_A_008.mp3;10;0.7;4
9;3;1;04S10Tone_70_A_009.mp3;10;0.7;4
10;3;1;04S10Tone_70_A_010.mp3;10;0.7;4
11;3;2;04S10Tone_70_B_001.mp3;10;0.7;4
12;3;2;04S10Tone_70_B_002.mp3;10;0.7;4
13;3;2;04S10Tone_70_B_003.mp3;10;0.7;4
14;3;2;04S10Tone_70_B_004.mp3;10;0.7;4
15;3;2;04S10Tone_70_B_005.mp3;10;0.7;4
16;3;2;04S10Tone_70_B_006.mp3;10;0.7;4
17;3;2;04S10Tone_70_B_007.mp3;10;0.7;4
18;3;2;04S10Tone_70_B_008.mp3;10;0.7;4
19;3;2;04S10Tone_70_B_009.mp3;10;0.7;4
20;3;2;04S10Tone_70_B_010.mp3;10;0.7;4
